Dates,NiKKEI,FTSE100,S&P500
04/01/1988,21217.04,1747.5,255.94
05/01/1988,21575.28,1789.6,258.63
06/01/1988,22790.5,1787.1,258.89
07/01/1988,22792.13,1787.2,261.07
08/01/1988,22872.56,1773.4,243.4
11/01/1988,22578.43,1760.2,247.49
12/01/1988,22625.05,1739.2,245.42
13/01/1988,22324.99,1733.4,245.81
14/01/1988,22603.65,1743.4,245.88
15/01/1988,22603.65,1786.7,252.05
18/01/1988,22910.2,1790,251.88
19/01/1988,22898.17,1768,249.32
20/01/1988,22843.14,1752.8,242.63
21/01/1988,22710.26,1747.2,243.14
22/01/1988,22876.58,1770.9,246.5
25/01/1988,23318.4,1762.2,252.17
26/01/1988,23498.76,1767.3,249.57
27/01/1988,23335.91,1765.2,249.38
28/01/1988,23587.25,1783.9,253.29
29/01/1988,23622.32,1790.8,257.07
01/02/1988,23732.32,1776.9,255.04
02/02/1988,23672.21,1774.4,255.57
03/02/1988,23595.37,1766.3,252.21
04/02/1988,23709.1,1766.9,252.21
05/02/1988,23650.8,1737.8,250.96
08/02/1988,23771.6,1694.5,249.1
09/02/1988,23662.27,1707.2,251.72
10/02/1988,23771.88,1718.5,256.66
11/02/1988,23771.88,1729.8,255.95
12/02/1988,23981.94,1734,257.63
15/02/1988,24207.47,1739.2,257.63
16/02/1988,24345.66,1734.6,259.83
17/02/1988,24429.95,1748.1,259.21
18/02/1988,24675.36,1736.1,257.91
19/02/1988,24773.41,1729.8,261.61
22/02/1988,24846.71,1747.2,265.64
23/02/1988,24949.45,1757.9,265.02
24/02/1988,24968.65,1760.1,264.43
25/02/1988,25100.66,1782.4,261.58
26/02/1988,25165.18,1766.5,262.46
29/02/1988,25242.81,1768.8,267.82
01/03/1988,25435.9,1781.9,267.22
02/03/1988,25682.82,1808.7,267.98
03/03/1988,25596.31,1813.3,267.88
04/03/1988,25615.62,1834.5,267.3
07/03/1988,25616.58,1818.2,267.38
08/03/1988,25465.73,1815,269.43
09/03/1988,25605.39,1815.3,269.06
10/03/1988,25617.82,1834.6,263.84
11/03/1988,25543.73,1811.6,264.94
14/03/1988,25433.51,1819.5,266.37
15/03/1988,25475.67,1839.9,266.13
16/03/1988,25704.43,1825.7,268.65
17/03/1988,25872.29,1828.1,271.22
